id,title,summary,text,provement,label,time
1,疫情期间大强度锻炼可提高抵抗力？,什么样的运动强度是适宜的：运动后感觉轻度的呼吸急促，周身微热，面色微红，内心感觉轻松愉快,长时间大强度的运动，会导致身体机能失调，免疫功能下降，并且运动损伤风险增加。因此，特别忌讳平常不运动、锻炼搞突击。什么样的运动强度是适宜的：运动后感觉轻度的呼吸急促，周身微热，面色微红，内心感觉轻松愉快。虽然稍微感觉有点疲乏，但是经过休息以后可以消除，并且没有疼痛和麻木。,,0,2020/3/6 11:03
2,吃降压药会增加感染病毒的风险？,擅自停用降压药会导致血压波动，给高血压患者带来更大的危险,因现有研究显示ACE2是新型冠状病毒入侵人体的关键，网传服用ACEI（血管紧张素转化酶抑制剂）类降压药会增加感染新冠病毒的风险。但目前没有任何动物和临床研究数据证实。擅自停用降压药会导致血压波动，给高血压患者带来更大的危险。对高血压患者而言，所有的药物调整都要在专科医生的指导下进行。,,0,2020/3/6 11:03
3,疫情期间大强度锻炼可提高抵抗力？,什么样的运动强度是适宜的：运动后感觉轻度的呼吸急促，周身微热，面色微红，内心感觉轻松愉快,在居家防疫期间，为确保运动安全有效，运动强度必须适宜。强度过低，没有锻炼效果，但是长时间大强度的运动，会导致身体机能失调，免疫功能下降，并且运动损伤风险增加。因此，特别忌讳平常不运动、锻炼搞突击。什么样的运动强度是适宜的：运动后感觉轻度的呼吸急促，周身微热，面色微红，内心感觉轻松愉快。虽然稍微感觉有点疲乏，但是经过休息以后可以消除，并且没有疼痛和麻木。,,0,2020/3/3 16:26
4,急救改用吸痰机，帮助武汉死亡人数减半？,有传闻称：「病患遗体解剖发现死者肺部出现大量痰栓，而痰栓是由呼吸机使用所产生，致人缺氧而死,有传闻称：「病患遗体解剖发现死者肺部出现大量痰栓，而痰栓是由呼吸机使用所产生，致人缺氧而死。昨天开始，急救改用吸痰机，帮助武汉死亡人数减半，这需要感谢遗体捐献者和同济法医系刘良教授团队的努力。」对此，刘良教授亲自辟谣：没有干预过任何个例的临床治疗。法医学专家表示：「痰栓不是呼吸机导致的，而是由肺部黏液病变形成的，属于疾病损害后的病理过程。」,,0,2020/3/2 14:40
5,可在家使用新冠病毒试剂盒自测？,近日，有人在朋友圈兜售某公司生产的新冠病毒抗体检测试剂盒，单价150元，并宣称可以家庭自行使用,近日，有人在朋友圈兜售某公司生产的新冠病毒抗体检测试剂盒，单价150元，并宣称可以家庭自行使用。对此，北京市药监局提示，经批准注册的新冠病毒检测试剂盒，均需要具备PCR实验室及专用设备的医疗机构才能完成检测，普通市民家庭不可自行使用，市民不要轻信虚假宣传，出现相关症状应及时就医。,,0,2020/3/2 14:34
6,服用降压药会增加感染新冠病毒的风险？,反倒是擅自停用降压药会导致血压波动，给高血压患者带来更大的危险,因现有研究显示ACE2是新型冠状病毒入侵人体的关键，网传服用ACEI（血管紧张素转化酶抑制剂）类降压药会增加感染新冠病毒的风险。但目前没有任何动物和临床研究数据证实。人体是复杂的个体，不能凭借简单的逻辑推理就盲目听信，要讲求证据。反倒是擅自停用降压药会导致血压波动，给高血压患者带来更大的危险。对高血压患者而言，所有的药物调整都要在专科医生的指导下进行。,,0,2020/3/2 14:34
7,第一例新冠肺炎患者来自美国？,」网友说得好，只背单词不学语法的人，就不要瞎翻译了,"网传的新闻截图原文「CDCconfirmsfirstcoronaviruscaseof""unknown""origininU.S.」的意思其实是：「美国疾控中心确认美国出现首例无法确定病源新冠肺炎患者。」网友说得好，只背单词不学语法的人，就不要瞎翻译了。",,0,2020/3/2 14:04
8,新冠病毒传播途径有变化？,28日，科技部社会发展科技司司长吴远彬表示，目前研究结论显示，呼吸道飞沫和密切接触传播仍然是主要传播途径,28日，科技部社会发展科技司司长吴远彬表示，目前研究结论显示，呼吸道飞沫和密切接触传播仍然是主要传播途径。粪口传播有一定风险，但传播能力和条件还需进一步相应研究证实。针对气溶胶传播，中国医科院实验动物所开展相应实验，气溶胶传播要同时满足密闭的空间、较长的时间、高浓度病毒三个条件，在这些条件下才有传染的可能性。通风条件良好的日常生活中气溶胶传播可能性小。,,0,2020/2/28 17:27
9,确诊者家中的狗检测呈弱阳性？,她呼吁养宠物的市民注意个人卫生,据香港文汇网报道，香港渔护署发现一名新冠肺炎确诊患者饲养的宠物狗对病毒测试呈弱阳性反应。香港食物及卫生局长陈肇始28日强调，无证据显示狗会传播新冠病毒给人。她呼吁养宠物的市民注意个人卫生。陈肇始表示，这只狗会接受兽医的医学监察，并抽取样本化验，待测试结果呈阴性才会发还。,,1,2020/2/28 17:09
10,十三名男女生感染 sk5 病毒？,此次经乐陵市公安局侦查，确认该谣言在当前时期的首次转发者为董某玲（庆云县居住）,近日，部分网民转发「乐陵十三人染sk5病毒，参与抢救的医生已被隔离」的信息，其实，该谣言早在2018年就已经存在，且造谣者被依法查处。此次经乐陵市公安局侦查，确认该谣言在当前时期的首次转发者为董某玲（庆云县居住）。2020年2月27日，董某玲因散布谣言扰乱公共秩序，已被公安机关依法处以行政拘留。,,0,2020/2/28 17:04
11,新冠病毒尚未发生明显变异？,中国-世界卫生组织新冠肺炎联合专家考察组24日在北京举行发布会,中国-世界卫生组织新冠肺炎联合专家考察组24日在北京举行发布会。考察组中方组长梁万年：通过对不同地点分离出的104株新冠病毒株进行全基因组测序，证实同源性达99.9%，提示病毒尚未发生明显变异。,,1,2020/2/25 19:08
12,新冠肺炎疫苗已研制成功？,2月25日有媒体报道，天津大学生命科学学院黄金海教授团队「取得重大突破，新冠疫苗已经研制成功」,2月25日有媒体报道，天津大学生命科学学院黄金海教授团队「取得重大突破，新冠疫苗已经研制成功」。实际上，目前天津大学的研究还是一个初步结果，目前的阶段是完成了疫苗设计，但没有动物实验及其它的必要数据，安全性、有效性都没有验证过，远远谈不上是「研制成功」。,,0,2020/2/25 18:28
